"","Running_no","Cruise_no","Filter_no","Filter_name","Vac_valve","Operator","Date","Cruise","Station_name","CTD_station","Depth","Niskin","Sample_type","Filter"
"1",2,2022607,"261","2022607_261",2,"Anonymous","22.03.2022",2022607,"FR_C",497,76.8,"3","Bottom",261
"2",3,2022607,"247","2022607_247",3,"Anonymous","22.03.2022",2022607,"FR_B",496,63.7,"2","Bottom",247
"3",6,2022607,"275","2022607_275",6,"Anonymous","22.03.2022",2022607,"FR_D",498,45.5,"4","Bottom",275
"4",7,2022607,"250","2022607_250",7,"Anonymous","22.03.2022",2022607,"FR_B",496,63.7,"3","Bottom",250
"5",8,2022607,"259","2022607_259",8,"Anonymous","22.03.2022",2022607,"FR_C",497,50.8,"5","Pycnocline",259
"6",10,2022607,"260","2022607_260",10,"Anonymous","22.03.2022",2022607,"FR_C",497,9.8,"9","Surface",260
"7",13,2022607,"254","2022607_254",13,"Anonymous","22.03.2022",2022607,"FR_B",496,50,"7","Pycnocline",254
"8",16,2022607,"252","2022607_252",16,"Anonymous","22.03.2022",2022607,"FR_B",496,10.4,"10","Surface",252
"9",21,2022607,"277","2022607_277",21,"Anonymous","22.03.2022",2022607,"FR_D",498,9.7,"11","Surface",277
"10",23,2022607,"264","2022607_264",23,"Anonymous","22.03.2022",2022607,"FR_C",497,76.8,"4","Bottom",264
"11",25,2022607,"235","2022607_235",1,"Anonymous","22.03.2022",2022607,"FR_A",NA,NA,NA,NA,235
"12",26,2022607,"245","2022607_245",2,"Anonymous","22.03.2022",2022607,"FR_B",NA,NA,NA,"Luft",245
"13",29,2022607,"239","2022607_239",5,"Anonymous","22.03.2022",2022607,"FR_A",495,87.4,"3","Bottom",239
"14",31,2022607,"258","2022607_258",7,"Anonymous","22.03.2022",2022607,"FR_C",497,76.8,"2","Bottom",258
"15",33,2022607,"238","2022607_238",9,"Anonymous","22.03.2022",2022607,"FR_A",495,9.5,"9","Surface",238
"16",37,2022607,"272","2022607_272",13,"Anonymous","22.03.2022",2022607,"FR_D",498,45.5,"3","Bottom",272
"17",39,2022607,"269","2022607_269",15,"Anonymous","22.03.2022",2022607,"FR_D",498,45.5,"2","Bottom",269
"18",41,2022607,"244","2022607_244",17,"Anonymous","22.03.2022",2022607,"FR_A",495,9.5,"11","Surface",244
"19",43,2022607,"241","2022607_241",19,"Anonymous","22.03.2022",2022607,"FR_A",495,9.5,"10","Surface",241
"20",44,2022607,"257","2022607_257",20,"Anonymous","22.03.2022",2022607,"FR_C",NA,NA,NA,"H2O",257
"21",46,2022607,"266","2022607_266",22,"Anonymous","22.03.2022",2022607,"FR_C",497,9.8,"11","Surface",266
"22",49,2022607,"263","2022607_263",1,"Anonymous","22.03.2022",2022607,"FR_C",497,9.8,"10","Surface",263
"23",50,2022607,"236","2022607_236",2,"Anonymous","22.03.2022",2022607,"FR_A",495,87.4,"2","Bottom",236
"24",53,2022607,"270","2022607_270",5,"Anonymous","22.03.2022",2022607,"FR_D",498,24.1,"5","Pycnocline",270
"25",55,2022607,"240","2022607_240",7,"Anonymous","22.03.2022",2022607,"FR_A",495,49.8,"6","Pycnocline",240
"26",56,2022607,"251","2022607_251",8,"Anonymous","22.03.2022",2022607,"FR_B",496,50,"6","Pycnocline",251
"27",61,2022607,"249","2022607_249",13,"Anonymous","22.03.2022",2022607,"FR_B",496,10.4,"9","Surface",249
"28",63,2022607,"255","2022607_255",15,"Anonymous","22.03.2022",2022607,"FR_B",496,10.4,"11","Surface",255
"29",66,2022607,"274","2022607_274",18,"Anonymous","22.03.2022",2022607,"FR_D",498,9.7,"10","Surface",274
"30",67,2022607,"262","2022607_262",19,"Anonymous","22.03.2022",2022607,"FR_C",497,50.8,"6","Pycnocline",262
