"","Well","Sample_name","Species","Conc","Tot_drop","Positives","Negatives","plate","pres","species_idx","st_idx","sp_st_idx"
"1","B10","2019629_10","Cod",0,18263,0,18263,"Plate_E",0,1,1,1
"2","B03","2019629_10","Cod",0,18727,0,18727,"Plate_G",0,1,1,1
"3","B04","2019629_10","Cod",0,18377,0,18377,"Plate_G",0,1,1,1
"4","B10","2019629_10","Herring",0,18263,0,18263,"Plate_E",0,2,1,172
"5","B03","2019629_10","Herring",0,18727,0,18727,"Plate_G",0,2,1,172
"6","B04","2019629_10","Herring",0,18377,0,18377,"Plate_G",0,2,1,172
"7","F09","2019629_11","Cod",0,18711,0,18711,"Plate_E",0,1,2,2
"8","E01","2019629_11","Cod",0,18411,0,18411,"Plate_G",0,1,2,2
"9","E02","2019629_11","Cod",0.200734362,17584,3,17581,"Plate_G",1,1,2,2
"10","F09","2019629_11","Herring",0.125758484,18711,2,18709,"Plate_E",1,2,2,173
"11","E01","2019629_11","Herring",0.383464992,18411,6,18405,"Plate_G",1,2,2,173
"12","E02","2019629_11","Herring",0.066907644,17584,1,17583,"Plate_G",1,2,2,173
"13","H10","2019629_12","Cod",0,17317,0,17317,"Plate_E",0,1,3,3
"14","A05","2019629_12","Cod",0.073619135,15981,1,15980,"Plate_G",1,1,3,3
"15","A06","2019629_12","Cod",0.068528943,17168,1,17167,"Plate_G",1,1,3,3
"16","A07","2019629_12","Cod",0,17868,0,17868,"Plate_G",0,1,3,3
"17","H10","2019629_12","Herring",0,17317,0,17317,"Plate_E",0,2,3,174
"18","A05","2019629_12","Herring",0,15981,0,15981,"Plate_G",0,2,3,174
"19","A06","2019629_12","Herring",0.068528943,17168,1,17167,"Plate_G",1,2,3,174
"20","A07","2019629_12","Herring",0.065844163,17868,1,17867,"Plate_G",1,2,3,174
"21","F08","2019629_13","Cod",0,15247,0,15247,"Plate_G",0,1,4,4
"22","F09","2019629_13","Cod",0,20260,0,20260,"Plate_G",0,1,4,4
"23","F10","2019629_13","Cod",0,18507,0,18507,"Plate_G",0,1,4,4
"24","F08","2019629_13","Herring",0.385867238,15247,5,15242,"Plate_G",1,2,4,175
