"","Well","Sample_name","Species","Conc","Tot_drop","Positives","Negatives","plate","pres","int_concentation","species_idx","st_idx","sp_st_idx"
"1","A09","Std-CH10","Herring",0,20155,0,20155,"Std_CH",0,0.001,2,1,9
"2","A09","Std-CH10","Cod",0.058372602,20155,1,20154,"Std_CH",1,0.001,1,1,1
"3","B01","Std-CH3","Herring",5276.005859,20299,20070,229,"Std_CH",1,10000,2,8,15
"4","B01","Std-CH3","Cod",9379.313477,20299,20292,7,"Std_CH",1,10000,1,8,8
"5","B02","Std-CH3","Herring",5249.827637,19939,19709,230,"Std_CH",1,10000,2,8,15
"6","B02","Std-CH3","Cod",9539.615234,19939,19933,6,"Std_CH",1,10000,1,8,8
"7","B03","Std-CH3","Herring",5397.776367,19760,19559,201,"Std_CH",1,10000,2,8,15
"8","B03","Std-CH3","Cod",10344.47363,19760,19757,3,"Std_CH",1,10000,1,8,8
"9","B04","Std-CH3","Herring",5583.827637,19691,19520,171,"Std_CH",1,10000,2,8,15
"10","B04","Std-CH3","Cod",8709.423828,19691,19679,12,"Std_CH",1,10000,1,8,8
"11","B05","Std-CH3","Herring",5242.785156,19820,19590,230,"Std_CH",1,10000,2,8,15
"12","B05","Std-CH3","Cod",11640.52539,19820,19819,1,"Std_CH",1,10000,1,8,8
"13","B06","Std-CH3","Herring",4883.633789,20575,20251,324,"Std_CH",1,10000,2,8,15
"14","B06","Std-CH3","Cod",9791.051758,20575,20570,5,"Std_CH",1,10000,1,8,8
"15","B07","Std-CH3","Herring",4233.053223,21077,20500,577,"Std_CH",1,10000,2,8,15
"16","B07","Std-CH3","Cod",9604.915039,21077,21071,6,"Std_CH",1,10000,1,8,8
"17","B08","Std-CH3","Herring",4469.855957,19969,19522,447,"Std_CH",1,10000,2,8,15
"18","B08","Std-CH3","Cod",9755.880859,19969,19964,5,"Std_CH",1,10000,1,8,8
"19","B09","Std-CH10","Herring",0,20609,0,20609,"Std_CH",0,0.001,2,1,9
"20","B09","Std-CH10","Cod",0.057086665,20609,1,20608,"Std_CH",1,0.001,1,1,1
"21","C01","Std-CH4","Herring",507.4628906,20727,7262,13465,"Std_CH",1,1000,2,7,14
"22","C01","Std-CH4","Cod",1030.269775,20727,12093,8634,"Std_CH",1,1000,1,7,7
"23","C02","Std-CH4","Herring",517.6899414,19776,7040,12736,"Std_CH",1,1000,2,7,14
"24","C02","Std-CH4","Cod",1021.711243,19776,11478,8298,"Std_CH",1,1000,1,7,7
"25","C03","Std-CH4","Herring",578.0614014,19799,7686,12113,"Std_CH",1,1000,2,7,14
"26","C03","Std-CH4","Cod",1090.323975,19799,11962,7837,"Std_CH",1,1000,1,7,7
"27","C04","Std-CH4","Herring",496.0462646,20132,6926,13206,"Std_CH",1,1000,2,7,14
"28","C04","Std-CH4","Cod",981.5128784,20132,11391,8741,"Std_CH",1,1000,1,7,7
"29","C05","Std-CH4","Herring",527.3100586,20264,7320,12944,"Std_CH",1,1000,2,7,14
"30","C05","Std-CH4","Cod",1084.042603,20264,12200,8064,"Std_CH",1,1000,1,7,7
"31","C06","Std-CH4","Herring",535.9616089,20095,7353,12742,"Std_CH",1,1000,2,7,14
"32","C06","Std-CH4","Cod",1063.732178,20095,11959,8136,"Std_CH",1,1000,1,7,7
"33","C07","Std-CH4","Herring",492.8137817,20732,7095,13637,"Std_CH",1,1000,2,7,14
"34","C07","Std-CH4","Cod",1030.962402,20732,12101,8631,"Std_CH",1,1000,1,7,7
"35","C08","Std-CH4","Herring",515.7027588,17312,6144,11168,"Std_CH",1,1000,2,7,14
"36","C08","Std-CH4","Cod",1068.1427,17312,10329,6983,"Std_CH",1,1000,1,7,7
"37","C09","Std-CH10","Herring",0,20663,0,20663,"Std_CH",0,0.001,2,1,9
"38","C09","Std-CH10","Cod",0,20663,0,20663,"Std_CH",0,0.001,1,1,1
"39","D01","Std-CH5","Herring",84.11287689,19029,1313,17716,"Std_CH",1,100,2,6,13
"40","D01","Std-CH5","Cod",60.12054825,19029,948,18081,"Std_CH",1,100,1,6,6
"41","D02","Std-CH5","Herring",54.08190155,20499,921,19578,"Std_CH",1,100,2,6,13
"42","D02","Std-CH5","Cod",102.7890167,20499,1715,18784,"Std_CH",1,100,1,6,6
"43","D03","Std-CH5","Herring",56.01877213,20172,938,19234,"Std_CH",1,100,2,6,13
"44","D03","Std-CH5","Cod",96.71737671,20172,1592,18580,"Std_CH",1,100,1,6,6
"45","D04","Std-CH5","Herring",62.37051392,19735,1019,18716,"Std_CH",1,100,2,6,13
"46","D04","Std-CH5","Cod",109.5690384,19735,1755,17980,"Std_CH",1,100,1,6,6
"47","D05","Std-CH5","Herring",58.34144211,20194,977,19217,"Std_CH",1,100,2,6,13
"48","D05","Std-CH5","Cod",105.877655,20194,1738,18456,"Std_CH",1,100,1,6,6
"49","D06","Std-CH5","Herring",54.560009,20831,944,19887,"Std_CH",1,100,2,6,13
"50","D06","Std-CH5","Cod",103.4193192,20831,1753,19078,"Std_CH",1,100,1,6,6
"51","D07","Std-CH5","Herring",50.76250458,22022,930,21092,"Std_CH",1,100,2,6,13
"52","D07","Std-CH5","Cod",96.94914246,22022,1742,20280,"Std_CH",1,100,1,6,6
"53","D08","Std-CH5","Herring",48.07962036,19154,767,18387,"Std_CH",1,100,2,6,13
"54","D08","Std-CH5","Cod",93.74313354,19154,1467,17687,"Std_CH",1,100,1,6,6
"55","D09","Std-CH10","Herring",0,21621,0,21621,"Std_CH",0,0.001,2,1,9
"56","D09","Std-CH10","Cod",0,21621,0,21621,"Std_CH",0,0.001,1,1,1
"57","E01","Std-CH6","Herring",4.88307476,20280,84,20196,"Std_CH",1,10,2,5,12
"58","E01","Std-CH6","Cod",10.43013382,20280,179,20101,"Std_CH",1,10,1,5,5
"59","E02","Std-CH6","Herring",5.315388203,19965,90,19875,"Std_CH",1,10,2,5,12
