"Well","Sample.description.1","Sample.description.2","Sample.description.3","Sample.description.4","Target","Conc.copies.µL.","pg.µL","Status","Status.Reason","Experiment","SampleType","TargetType","Supermix","DyeName.s.","Copies.20µLWell","TotalConfMax","TotalConfMin","PoissonConfMax","PoissonConfMin","Accepted.Droplets","Positives","Negatives","Copies.uL.linked.molecules","CNV","TotalCNVMax","TotalCNVMin","PoissonCNVMax","PoissonCNVMin","ReferenceCopies","UnknownCopies","Threshold1","Threshold2","Threshold3","ThresholdSigmaAbove","ThresholdSigmaBelow","ReferenceUsed","Ratio","TotalRatioMax","TotalRatioMin","PoissonRatioMax","PoissonRatioMin","Fractional.Abundance","TotalFractionalAbundanceMax","TotalFractionalAbundanceMin","PoissonFractionalAbundanceMax","PoissonFractionalAbundanceMin","MeanAmplitudeOfPositives","MeanAmplitudeOfNegatives","MeanAmplitudeTotal","ExperimentComments","MergedWells","TotalConfidenceMax68","TotalConfidenceMin68","PoissonConfidenceMax68","PoissonConfidenceMin68","TotalCNVMax68","TotalCNVMin68","PoissonCNVMax68","PoissonCNVMin68","TotalRatioMax68","TotalRatioMin68","PoissonRatioMax68","PoissonRatioMin68","TotalFractionalAbundanceMax68","TotalFractionalAbundanceMin68","PoissonFractionalAbundanceMax68","PoissonFractionalAbundanceMin68","TiltCorrected","Ch1.Ch2.","Ch1.Ch2..1","Ch1.Ch2..2","Ch1.Ch2..3","Species","assay"
"A01","CS8_rep1",NA,NA,NA,"FAM",0,NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (no dUTP)","FAM",0,NA,NA,0.161206781864166,0,21866,0,21866,0,NA,NA,NA,NA,NA,NA,NA,1850,NA,NA,NA,38.3638459170954,"HEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519.990484244824,519.990484244824,NA,NA,NA,NA,0.0736595019698143,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",0,0,0,21866,"Saithe","Cod + Saithe"
"A01","CS8_rep1",NA,NA,NA,"HEX",0,NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (no dUTP)","HEX",0,NA,NA,0.161206781864166,0,21866,0,21866,0,NA,NA,NA,NA,NA,NA,NA,2050,NA,NA,NA,8.8753831317077,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1551.18008419223,1551.18008419223,NA,NA,NA,NA,0.0736595019698143,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",0,0,0,21866,"Cod","Cod + Saithe"
"A02","CS8_rep2",NA,NA,NA,"FAM",0.0659807994961739,NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (no dUTP)","FAM",1.31961596012115,NA,NA,0.315157651901245,0.00277111912146211,17831,1,17830,0,NA,NA,NA,NA,NA,NA,NA,1850,NA,NA,NA,37.4494229518452,"HEX",NA,NA,NA,NA,NA,100,NA,NA,249.808379667411,0,4884.53515625,539.968355286021,540.212007734059,NA,NA,NA,NA,0.164233073592186,0.017880430445075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.450702269125,31.5492977308751,"No",0,1,0,17830,"Saithe","Cod + Saithe"
"A02","CS8_rep2",NA,NA,NA,"HEX",0,NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (no dUTP)","HEX",0,NA,NA,0.197689533233643,0,17831,0,17831,0,NA,NA,NA,NA,NA,NA,NA,2050,NA,NA,NA,9.74746704777579,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1508.04633302931,1508.04633302931,NA,NA,NA,NA,0.0903286412358284,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",0,1,0,17830,"Cod","Cod + Saithe"
"A03","CS8_rep3",NA,NA,NA,"FAM",0.0620027184486389,NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (no dUTP)","FAM",1.24005436897278,NA,NA,0.29615443944931,0.00260404846630991,18975,1,18974,0,NA,NA,NA,NA,NA,NA,NA,1850,NA,NA,NA,24.2419391950212,"HEX",NA,NA,NA,NA,NA,100,NA,NA,249.807879580825,0,5113.95361328125,575.079092814471,575.31829568775,NA,NA,NA,NA,0.154330834746361,0.0168024133890867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.450662015145,31.5493379848553,"No",0,1,0,18974,"Saithe","Cod + Saithe"
"A03","CS8_rep3",NA,NA,NA,"HEX",0,NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (no dUTP)","HEX",0,NA,NA,0.18576991558075,0,18975,0,18975,0,NA,NA,NA,NA,NA,NA,NA,2050,NA,NA,NA,6.25891105039443,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1540.41977064452,1540.41977064452,NA,NA,NA,NA,0.0848825424909592,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",0,1,0,18974,"Cod","Cod + Saithe"
"A04","CS8_rep4",NA,NA,NA,"FAM",0,NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (no dUTP)","FAM",0,NA,NA,0.185613393783569,0,18991,0,18991,0,0,NA,NA,NA,NA,2,NA,1850,NA,NA,NA,26.06537958195,"HEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,554.319549412707,554.319549412707,NA,NA,NA,NA,0.0848110243678093,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",0,0,1,18990,"Saithe","Cod + Saithe"
"A04","CS8_rep4",NA,NA,NA,"HEX",0.0619504824280739,NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (no dUTP)","HEX",1.23900961875916,NA,NA,0.295904904603958,0.00260185450315475,18991,1,18990,0,NA,NA,NA,NA,NA,NA,NA,2050,NA,NA,NA,6.39541236658536,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3140.615234375,1468.3371344833,1468.42519083104,NA,NA,NA,NA,0.154200792312622,0.0167882572859526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",0,0,1,18990,"Cod","Cod + Saithe"
"A05","CS8_rep5",NA,NA,NA,"FAM",0.0612984523177147,NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (no dUTP)","FAM",1.22596907615662,NA,NA,0.292790204286575,0.00257447082549334,19193,1,19192,0,2,NA,NA,8.69555283626807,0,2,NA,1850,NA,NA,NA,35.116898000142,"HEX",1,NA,NA,4.34777641813403,0,50,NA,NA,133.694410453351,0,5117.97412109375,587.510026872133,587.746074602776,NA,NA,NA,NA,0.152577772736549,0.0166115649044514,NA,NA,5.13686965771929,0,NA,NA,2.56843482885965,0,NA,NA,89.2108707214911,10.7891292785089,"No",0,1,1,19191,"Saithe","Cod + Saithe"
"A05","CS8_rep5",NA,NA,NA,"HEX",0.0612984523177147,NA,"Manual","Droplets Analyzed Manually","DQ","Unknown","Unknown","ddPCR Supermix for Probes (no dUTP)","HEX",1.22596907615662,NA,NA,0.292790204286575,0.00257447082549334,19193,1,19192,0,NA,NA,NA,NA,NA,NA,NA,2050,NA,NA,NA,9.21289616394834,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3120.0859375,1525.28479182318,1525.36788467712,NA,NA,NA,NA,0.152577772736549,0.0166115649044514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",0,1,1,19191,"Cod","Cod + Saithe"
