"","Well","Sample_name","Species","Ct","Conc","plate","pres","species_idx","st_idx","sp_st_idx"
"1","F11","2019629_10","Cod","43.85659409",0.017735958,"Plate_D",1,1,1,1
"2","F12","2019629_10","Cod","46.21499252",0.003516864,"Plate_D",1,1,1,1
"3","F11","2019629_10","Cod",NA,NA,"Plate_F",0,1,1,1
"4","F12","2019629_10","Cod",NA,NA,"Plate_F",0,1,1,1
"5","F11","2019629_10","Herring",NA,NA,"Plate_D",0,2,1,172
"6","F12","2019629_10","Herring",NA,NA,"Plate_D",0,2,1,172
"7","F11","2019629_10","Herring",NA,NA,"Plate_F",0,2,1,172
"8","F12","2019629_10","Herring",NA,NA,"Plate_F",0,2,1,172
"9","B11","2019629_11","Cod",NA,NA,"Plate_D",0,1,2,2
"10","B12","2019629_11","Cod",NA,NA,"Plate_D",0,1,2,2
"11","F10","2019629_11","Cod",NA,NA,"Plate_E",0,1,2,2
"12","B12","2019629_11","Cod","49.60160828",0.000507072,"Plate_E",1,1,2,2
"13","B11","2019629_11","Herring",NA,NA,"Plate_D",0,2,2,173
"14","B12","2019629_11","Herring","40.6131897",0.260936439,"Plate_D",1,2,2,173
"15","F10","2019629_11","Herring",NA,NA,"Plate_E",0,2,2,173
"16","B12","2019629_11","Herring","40.35699081",1.912313938,"Plate_E",1,2,2,173
"17","E3","2019629_12","Cod",NA,NA,"Plate_E",0,1,3,3
"18","E4","2019629_12","Cod","43.92163467",0.022016667,"Plate_E",1,1,3,3
"19","E5","2019629_12","Cod",NA,NA,"Plate_E",0,1,3,3
"20","E3","2019629_12","Herring",NA,NA,"Plate_E",0,2,3,174
"21","E4","2019629_12","Herring",NA,NA,"Plate_E",0,2,3,174
"22","E5","2019629_12","Herring","40.28800583",2.003075361,"Plate_E",1,2,3,174
"23","C11","2019629_13","Cod",NA,NA,"Plate_E",0,1,4,4
"24","D11","2019629_13","Cod",NA,NA,"Plate_E",0,1,4,4
"25","C12","2019629_13","Cod",NA,NA,"Plate_E",0,1,4,4
"26","C11","2019629_13","Herring","38.52088928",6.56981802,"Plate_E",1,2,4,175
"27","D11","2019629_13","Herring","39.43684387",3.549508095,"Plate_E",1,2,4,175
