"","Well","Sample","Species","Task","Reporter","Quencher","Ct","Cт.Mean","Cт.SD","Quantity","Quantity.Mean","Quantity.SD","Automatic.Ct.Threshold","Ct.Threshold","Automatic.Baseline","Baseline.Start","Baseline.End","Comments","HIGHSD","EXPFAIL","SuperMix"
"1","A1","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",18.41906166,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,14,NA,"Y","N","SM1"
"2","A1","ST1","Herring","UNKNOWN","CY3","NFQ-MGB",20.03697205,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,18,NA,"Y","N","SM1"
"3","A2","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",18.64526749,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,15,NA,"Y","N","SM1"
"4","A2","ST1","Herring","UNKNOWN","CY3","NFQ-MGB",20.34123611,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,18,NA,"Y","N","SM1"
"5","A3","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",18.5864315,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,14,NA,"Y","N","SM1"
"6","A3","ST1","Herring","UNKNOWN","CY3","NFQ-MGB",20.31843185,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,18,NA,"Y","N","SM1"
"7","B1","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",25.21956635,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,22,NA,"Y","N","SM1"
"8","B1","ST3","Herring","UNKNOWN","CY3","NFQ-MGB",26.89925575,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,25,NA,"Y","N","SM1"
"9","B2","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",25.42872047,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,22,NA,"Y","N","SM1"
"10","B2","ST3","Herring","UNKNOWN","CY3","NFQ-MGB",26.85432625,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,25,NA,"Y","N","SM1"
"11","B3","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",25.36953163,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,21,NA,"Y","N","SM1"
"12","B3","ST3","Herring","UNKNOWN","CY3","NFQ-MGB",26.79392052,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,25,NA,"Y","N","SM1"
"13","C1","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",32.33818054,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,28,NA,"Y","N","SM1"
"14","C1","ST5","Herring","UNKNOWN","CY3","NFQ-MGB",33.61590958,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,32,NA,"Y","N","SM1"
"15","C2","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",32.02031708,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,27,NA,"Y","N","SM1"
"16","C2","ST5","Herring","UNKNOWN","CY3","NFQ-MGB",33.52106857,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,32,NA,"Y","N","SM1"
"17","C3","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",32.43307114,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,28,NA,"Y","N","SM1"
"18","C3","ST5","Herring","UNKNOWN","CY3","NFQ-MGB",33.56461716,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,32,NA,"Y","N","SM1"
"19","A4","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",17.89541435,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,14,NA,"Y","N","SM2"
