"","Well","Sample","Species","Task","Reporter","Quencher","Ct","Cт.Mean","Cт.SD","Quantity","Quantity.Mean","Quantity.SD","Automatic.Ct.Threshold","Ct.Threshold","Automatic.Baseline","Baseline.Start","Baseline.End","Comments","HIGHSD","EXPFAIL","SuperMix"
"1","A1","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",18.96954918,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,16,NA,"Y","N","SM1"
"2","A1","ST1","Saithe","UNKNOWN","JOE","NFQ-MGB",19.39647865,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,17,NA,"Y","N","SM1"
"3","A2","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",19.03104591,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,14,NA,"Y","N","SM1"
"4","A2","ST1","Saithe","UNKNOWN","JOE","NFQ-MGB",19.34877205,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,17,NA,"Y","N","SM1"
"5","A3","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",18.96785736,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,14,NA,"Y","N","SM1"
"6","A3","ST1","Saithe","UNKNOWN","JOE","NFQ-MGB",19.57041168,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,17,NA,"Y","N","SM1"
"7","B1","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",25.90933228,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,22,NA,"Y","N","SM1"
"8","B1","ST3","Saithe","UNKNOWN","JOE","NFQ-MGB",25.93704605,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,24,NA,"Y","N","SM1"
"9","B2","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",26.0069561,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,22,NA,"Y","N","SM1"
"10","B2","ST3","Saithe","UNKNOWN","JOE","NFQ-MGB",25.74000359,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,23,NA,"Y","N","SM1"
"11","B3","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",25.87097549,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,22,NA,"Y","N","SM1"
"12","B3","ST3","Saithe","UNKNOWN","JOE","NFQ-MGB",25.67511559,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,22,NA,"Y","N","SM1"
"13","C1","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",32.90549088,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,29,NA,"Y","N","SM1"
"14","C1","ST5","Saithe","UNKNOWN","JOE","NFQ-MGB",32.76303482,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,31,NA,"Y","N","SM1"
"15","C2","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",33.00363922,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,30,NA,"Y","N","SM1"
