"","Well","Sample_name","Species","Ct","int_concentation","plate","pres","species_idx","st_idx","sp_st_idx"
"1","A1","Std-CS1","Cod",17.17366409,1e+06,"Plate_A",1,1,8,8
"2","B1","Std-CS2","Cod",20.32516289,1e+05,"Plate_A",1,1,7,7
"3","C1","Std-CS3","Cod",24.26965332,10000,"Plate_A",1,1,6,6
"4","D1","Std-CS4","Cod",26.89413261,1000,"Plate_A",1,1,5,5
"5","E1","Std-CS5","Cod",30.73742294,100,"Plate_A",1,1,4,4
"6","F1","Std-CS6","Cod",33.8976326,10,"Plate_A",1,1,3,3
"7","G1","Std-CS7","Cod",36.95103073,1,"Plate_A",1,1,2,2
"8","A2","Std-CS1","Cod",17.41136169,1e+06,"Plate_A",1,1,8,8
"9","C2","Std-CS3","Cod",24.2088623,10000,"Plate_A",1,1,6,6
"10","D2","Std-CS4","Cod",27.22113228,1000,"Plate_A",1,1,5,5
"11","E2","Std-CS5","Cod",30.60840034,100,"Plate_A",1,1,4,4
"12","F2","Std-CS6","Cod",34.95129395,10,"Plate_A",1,1,3,3
"13","G2","Std-CS7","Cod",NA,1,"Plate_A",0,1,2,2
"14","A1","Std-CS1","Saithe",19.48627663,1e+06,"Plate_A",1,3,8,24
"15","B1","Std-CS2","Saithe",24.45494461,1e+05,"Plate_A",1,3,7,23
"16","C1","Std-CS3","Saithe",26.33909225,10000,"Plate_A",1,3,6,22
"17","D1","Std-CS4","Saithe",29.64437103,1000,"Plate_A",1,3,5,21
"18","E1","Std-CS5","Saithe",33.38202667,100,"Plate_A",1,3,4,20
"19","F1","Std-CS6","Saithe",36.25789261,10,"Plate_A",1,3,3,19
"20","G1","Std-CS7","Saithe",40.72580338,1,"Plate_A",1,3,2,18
"21","A2","Std-CS1","Saithe",19.90070343,1e+06,"Plate_A",1,3,8,24
"22","B2","Std-CS2","Saithe",24.13111687,1e+05,"Plate_A",1,3,7,23
"23","C2","Std-CS3","Saithe",26.0478096,10000,"Plate_A",1,3,6,22
"24","D2","Std-CS4","Saithe",29.77655792,1000,"Plate_A",1,3,5,21
"25","E2","Std-CS5","Saithe",32.71688461,100,"Plate_A",1,3,4,20
"26","F2","Std-CS6","Saithe",36.64868927,10,"Plate_A",1,3,3,19
