"","Sample_name","st_idx"
"1","2019629_10",1
"2","2019629_11",2
"3","2019629_12",3
"4","2019629_13",4
"5","2019629_14",5
"6","2019629_15",6
"7","2019629_16",7
"8","2019629_19",8
"9","2019629_2",9
"10","2019629_20",10
"11","2019629_21",11
"12","2019629_22",12
"13","2019629_23",13
"14","2019629_24",14
"15","2019629_25",15
"16","2019629_26",16
"17","2019629_27",17
"18","2019629_28",18
"19","2019629_29",19
"20","2019629_3",20
"21","2019629_30",21
"22","2019629_31",22
"23","2019629_32",23
"24","2019629_4",24
"25","2019629_5",25
"26","2019629_6",26
"27","2019629_7",27
"28","2019629_8",28
"29","2020620_02",29
"30","2020620_03",30
"31","2020620_04",31
"32","2020620_05",32
"33","2020620_06",33
"34","2020620_07",34
"35","2020620_08",35
"36","2020620_11",36
"37","2020620_12",37
"38","2020620_13",38
"39","2020620_14",39
"40","2020620_15",40
"41","2020620_16",41
"42","2020620_17",42
"43","2020620_18",43
"44","2020620_19",44
"45","2020620_20",45
"46","2020620_21",46
"47","2020620_22",47
"48","2020620_23",48
"49","2020620_24",49
"50","2020620_26",50
"51","2020620_27",51
"52","2020620_28",52
"53","2020620_29",53
"54","2020620_30",54
"55","2020620_31",55
"56","2020620_32",56
"57","2021607_254",57
"58","2021607_256",58
"59","2021607_257",59
"60","2021607_258",60
"61","2021607_259",61
"62","2021607_260",62
"63","2021607_261",63
"64","2021607_264",64
"65","2021607_265",65
"66","2021607_266",66
"67","2021607_267",67
"68","2021607_268",68
"69","2021607_269",69
"70","2021607_270",70
"71","2021607_271",71
"72","2021607_272",72
"73","2021607_274",73
"74","2021607_275",74
"75","2021607_276",75
"76","2021607_277",76
"77","2021607_278",77
"78","2021607_279",78
"79","2021607_280",79
"80","2021607_281",80
"81","2021607_282",81
"82","2021607_283",82
"83","2021607_285",83
"84","2021607_286",84
"85","2021607_287",85
"86","2021607_288",86
"87","2021607_289",87
"88","2021607_290",88
"89","2021607_291",89
"90","2021607_292",90
"91","2021607_293",91
"92","2021607_294",92
"93","2021624_10",93
"94","2021624_11",94
"95","2021624_13",95
"96","2021624_14",96
"97","2021624_15",97
"98","2021624_16",98
"99","2021624_17",99
"100","2021624_18",100
"101","2021624_19",101
"102","2021624_2",102
"103","2021624_20",103
"104","2021624_21",104
"105","2021624_22",105
"106","2021624_25",106
"107","2021624_26",107
"108","2021624_27",108
"109","2021624_28",109
"110","2021624_29",110
"111","2021624_3",111
"112","2021624_30",112
"113","2021624_31",113
"114","2021624_32",114
"115","2021624_33",115
"116","2021624_34",116
"117","2021624_36",117
"118","2021624_37",118
"119","2021624_38",119
"120","2021624_39",120
"121","2021624_4",121
"122","2021624_40",122
"123","2021624_41",123
"124","2021624_42",124
"125","2021624_43",125
"126","2021624_44",126
"127","2021624_5",127
"128","2021624_6",128
"129","2021624_7",129
"130","2021624_8",130
"131","2021624_9",131
"132","2022607_235",132
"133","2022607_236",133
"134","2022607_237",134
"135","2022607_238",135
"136","2022607_239",136
"137","2022607_240",137
"138","2022607_241",138
"139","2022607_242",139
"140","2022607_243",140
"141","2022607_244",141
"142","2022607_245",142
"143","2022607_247",143
"144","2022607_248",144
"145","2022607_249",145
"146","2022607_250",146
"147","2022607_251",147
"148","2022607_252",148
"149","2022607_253",149
"150","2022607_254",150
"151","2022607_255",151
"152","2022607_257",152
"153","2022607_258",153
"154","2022607_259",154
"155","2022607_260",155
"156","2022607_261",156
"157","2022607_262",157
"158","2022607_263",158
"159","2022607_264",159
"160","2022607_265",160
"161","2022607_266",161
"162","2022607_269",162
"163","2022607_270",163
"164","2022607_271",164
"165","2022607_272",165
"166","2022607_273",166
"167","2022607_274",167
"168","2022607_275",168
"169","2022607_276",169
"170","2022607_277",170
"171","NTC",171
